TestID,Category,Module / Page,Test Case,Method,Environment,Status,Observed Result (evidence),CWE,OWASP,Executed At
BE-00023,Functional,Auth,POST /api/v1/auth/register — string field email whitespace only,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 400, 2.2ms. {""detail"":""This username is already taken""}",,,2026-07-29T08:51:30.165Z
BE-00024,Security,Auth,POST /api/v1/auth/register — string field username sql injection,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 400, 2.2ms. {""detail"":""An account with this email already exists""}",CWE-89: SQL Injection,A03:2021-Injection,2026-07-29T08:51:30.167Z
BE-00025,Security,Auth,POST /api/v1/auth/register — string field username xss payload,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 400, 2.1ms. {""detail"":""An account with this email already exists""}",CWE-79: Cross-Site Scripting,A03:2021-Injection,2026-07-29T08:51:30.169Z
BE-00026,Security,Auth,POST /api/v1/auth/register — string field username crlf injection,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 400, 1.9ms. {""detail"":""An account with this email already exists""}",CWE-93: CRLF Injection,A03:2021-Injection,2026-07-29T08:51:30.171Z
BE-00027,Functional,Auth,POST /api/v1/auth/register — string field username oversized 6000 chars,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 400, 1.9ms. {""detail"":""An account with this email already exists""}",CWE-1284: Improper Validation of Specified Quantity in Input,A04:2021-Insecure Design,2026-07-29T08:51:30.173Z
BE-00028,Functional,Auth,POST /api/v1/auth/register — string field username empty string,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 400, 2.0ms. {""detail"":""An account with this email already exists""}",,,2026-07-29T08:51:30.175Z
BE-00029,Functional,Auth,POST /api/v1/auth/register — string field username whitespace only,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 400, 1.9ms. {""detail"":""An account with this email already exists""}",,,2026-07-29T08:51:30.177Z
BE-00030,Security,Auth,POST /api/v1/auth/register — string field full name sql injection,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 400, 2.1ms. {""detail"":""An account with this email already exists""}",CWE-89: SQL Injection,A03:2021-Injection,2026-07-29T08:51:30.179Z
BE-00031,Security,Auth,POST /api/v1/auth/register — string field full name xss payload,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 400, 1.9ms. {""detail"":""An account with this email already exists""}",CWE-79: Cross-Site Scripting,A03:2021-Injection,2026-07-29T08:51:30.181Z
BE-00032,Security,Auth,POST /api/v1/auth/register — string field full name crlf injection,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 400, 1.9ms. {""detail"":""An account with this email already exists""}",CWE-93: CRLF Injection,A03:2021-Injection,2026-07-29T08:51:30.183Z
BE-00033,Functional,Auth,POST /api/v1/auth/register — string field full name oversized 6000 chars,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 400, 2.0ms. {""detail"":""An account with this email already exists""}",CWE-1284: Improper Validation of Specified Quantity in Input,A04:2021-Insecure Design,2026-07-29T08:51:30.185Z
BE-00034,Functional,Auth,POST /api/v1/auth/register — string field full name empty string,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 400, 1.9ms. {""detail"":""An account with this email already exists""}",,,2026-07-29T08:51:30.187Z
BE-00035,Functional,Auth,POST /api/v1/auth/register — string field full name whitespace only,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 400, 1.9ms. {""detail"":""An account with this email already exists""}",,,2026-07-29T08:51:30.189Z
BE-00036,Functional,Auth,POST /api/v1/auth/register — numeric field age negative,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 422, 1.5ms. {""detail"":[{""type"":""greater_than_equal"",""loc"":[""body"",""age""],""msg"":""Input should be greater than or equal to 0"",""input"":-1,""ctx"":{""ge"":0},""url"":""https://errors.pydantic.dev/2.5/v/greater_than_equal""}]",,,2026-07-29T08:51:30.191Z
BE-00037,Functional,Auth,POST /api/v1/auth/register — numeric field age zero,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 400, 2.2ms. {""detail"":""An account with this email already exists""}",,,2026-07-29T08:51:30.193Z
BE-00038,Functional,Auth,POST /api/v1/auth/register — numeric field age very large,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 422, 1.7ms. {""detail"":[{""type"":""less_than_equal"",""loc"":[""body"",""age""],""msg"":""Input should be less than or equal to 150"",""input"":1000000000000000.0,""ctx"":{""le"":150},""url"":""https://errors.pydantic.dev/2.5/v/less_th",,,2026-07-29T08:51:30.195Z
BE-00039,Functional,Auth,POST /api/v1/auth/register — numeric field age very small fraction,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 422, 1.5ms. {""detail"":[{""type"":""int_from_float"",""loc"":[""body"",""age""],""msg"":""Input should be a valid integer, got a number with a fractional part"",""input"":1e-06,""url"":""https://errors.pydantic.dev/2.5/v/int_from_fl",,,2026-07-29T08:51:30.197Z
BE-00040,Functional,Auth,POST /api/v1/auth/register — numeric field age wrong type string,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 422, 2.1ms. {""detail"":[{""type"":""int_parsing"",""loc"":[""body"",""age""],""msg"":""Input should be a valid integer, unable to parse string as an integer"",""input"":""not-a-number"",""url"":""https://errors.pydantic.dev/2.5/v/int_",,,2026-07-29T08:51:30.199Z
BE-00041,Functional,Auth,POST /api/v1/auth/register — missing required field email,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 422 (expected [422]), 1.5ms. {""detail"":[{""type"":""missing"",""loc"":[""body"",""email""],""msg"":""Field required"",""input"":{""username"":""qa_user"",""password"":""Str0ngPassw0rd!"",""full_name"":""QA Automation User"",""age"":29,""gender"":""prefer_not_to_",,,2026-07-29T08:51:30.200Z
BE-00042,Functional,Auth,POST /api/v1/auth/register — wrong type for string field email,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 422 (expected [422]), 1.5ms. {""detail"":[{""type"":""string_type"",""loc"":[""body"",""email""],""msg"":""Input should be a valid string"",""input"":12345,""url"":""https://errors.pydantic.dev/2.5/v/string_type""}]}",,,2026-07-29T08:51:30.202Z
BE-00043,Functional,Auth,POST /api/v1/auth/register — extra unexpected fields ignored,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 400, 2.0ms. {""detail"":""An account with this email already exists""}",CWE-915: Improperly Controlled Modification of Dynamically-Determined Object Attributes,A08:2021-Software and Data Integrity Failures,2026-07-29T08:51:30.204Z
BE-00044,Functional,Auth,POST /api/v1/auth/register — invalid json body syntax,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 422 (expected [400, 422]), 0.8ms. {""detail"":[{""type"":""json_invalid"",""loc"":[""body"",1],""msg"":""JSON decode error"",""input"":{},""ctx"":{""error"":""Expecting property name enclosed in double quotes""}}]}",,,2026-07-29T08:51:30.205Z
BE-00045,Functional,Auth,POST /api/v1/auth/login — valid request,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 200, 248.5ms. {""access_token"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJxYS51c2VyQGhlYWx0aHNlbnNlLnRlc3QiLCJleHAiOjE3ODUzMTg2OTB9.XJjsWoxdkmEqvbYtKzeLUJEZ6D9O5YcGfyTU21uN7ZU"",""token_type"":""bearer"",""user"":{""i",,,2026-07-29T08:51:30.453Z
BE-00046,API,Auth,POST /api/v1/auth/login — unsupported method,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 405 (expected [404, 405]), 1.3ms. {""detail"":""Method Not Allowed""}",,,2026-07-29T08:51:30.455Z
BE-00047,API,Auth,POST /api/v1/auth/login — trailing slash variant,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 307 (redirect), 1.0ms",,,2026-07-29T08:51:30.456Z
BE-00048,Security,Auth,POST /api/v1/auth/login — cors preflight,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 200, 0.8ms — preflight handled without server error",CWE-942: Overly Permissive Cross-domain Whitelist,A05:2021-Security Misconfiguration,2026-07-29T08:51:30.457Z
BE-00049,API,Auth,POST /api/v1/auth/login — case insensitive path check,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 404 (case-sensitive routing correctly rejects altered-case path), 0.9ms",,,2026-07-29T08:51:30.458Z
BE-00050,Security,Auth,POST /api/v1/auth/login — string field username sql injection,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 401, 3.5ms. {""detail"":""Incorrect email or password""}",CWE-89: SQL Injection,A03:2021-Injection,2026-07-29T08:51:30.461Z
BE-00051,Security,Auth,POST /api/v1/auth/login — string field username xss payload,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 401, 2.8ms. {""detail"":""Incorrect email or password""}",CWE-79: Cross-Site Scripting,A03:2021-Injection,2026-07-29T08:51:30.464Z
BE-00052,Security,Auth,POST /api/v1/auth/login — string field username crlf injection,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 401, 2.5ms. {""detail"":""Incorrect email or password""}",CWE-93: CRLF Injection,A03:2021-Injection,2026-07-29T08:51:30.467Z
BE-00053,Functional,Auth,POST /api/v1/auth/login — string field username oversized 6000 chars,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 401, 2.6ms. {""detail"":""Incorrect email or password""}",CWE-1284: Improper Validation of Specified Quantity in Input,A04:2021-Insecure Design,2026-07-29T08:51:30.470Z
BE-00054,Functional,Auth,POST /api/v1/auth/login — string field username empty string,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 422, 1.7ms. {""detail"":[{""type"":""missing"",""loc"":[""body"",""username""],""msg"":""Field required"",""input"":null,""url"":""https://errors.pydantic.dev/2.5/v/missing""}]}",,,2026-07-29T08:51:30.471Z
BE-00055,Functional,Auth,POST /api/v1/auth/login — string field username whitespace only,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 401, 2.8ms. {""detail"":""Incorrect email or password""}",,,2026-07-29T08:51:30.474Z
BE-00056,Security,Auth,POST /api/v1/auth/login — string field password sql injection,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 401, 247.6ms. {""detail"":""Incorrect email or password""}",CWE-89: SQL Injection,A03:2021-Injection,2026-07-29T08:51:30.722Z
BE-00057,Security,Auth,POST /api/v1/auth/login — string field password xss payload,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 401, 248.7ms. {""detail"":""Incorrect email or password""}",CWE-79: Cross-Site Scripting,A03:2021-Injection,2026-07-29T08:51:30.971Z
BE-00058,Security,Auth,POST /api/v1/auth/login — string field password crlf injection,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 401, 248.7ms. {""detail"":""Incorrect email or password""}",CWE-93: CRLF Injection,A03:2021-Injection,2026-07-29T08:51:31.220Z
BE-00059,Functional,Auth,POST /api/v1/auth/login — string field password oversized 6000 chars,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 401, 3.0ms. {""detail"":""Incorrect email or password""}",CWE-1284: Improper Validation of Specified Quantity in Input,A04:2021-Insecure Design,2026-07-29T08:51:31.223Z
BE-00060,Functional,Auth,POST /api/v1/auth/login — string field password empty string,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 422, 2.1ms. {""detail"":[{""type"":""missing"",""loc"":[""body"",""password""],""msg"":""Field required"",""input"":null,""url"":""https://errors.pydantic.dev/2.5/v/missing""}]}",,,2026-07-29T08:51:31.225Z
BE-00061,Functional,Auth,POST /api/v1/auth/login — string field password whitespace only,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 401, 248.0ms. {""detail"":""Incorrect email or password""}",,,2026-07-29T08:51:31.473Z
BE-00062,Functional,Auth,POST /api/v1/auth/login — missing required field username,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 422 (expected [422]), 2.9ms. {""detail"":[{""type"":""missing"",""loc"":[""body"",""username""],""msg"":""Field required"",""input"":null,""url"":""https://errors.pydantic.dev/2.5/v/missing""}]}",,,2026-07-29T08:51:31.476Z
BE-00063,Functional,Auth,GET /api/v1/auth/me — valid request,GET,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 200, 3.4ms. {""id"":1,""email"":""qa.usere8f94e49@healthsense.test"",""username"":""qa_usere8f94e49"",""full_name"":""QA Automation User"",""age"":29,""gender"":""prefer_not_to_say"",""created_at"":""2026-07-29T08:51:29.876008"",""is_act",,,2026-07-29T08:51:31.479Z
BE-00064,API,Auth,GET /api/v1/auth/me — unsupported method,GET,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 405 (expected [404, 405]), 0.9ms. {""detail"":""Method Not Allowed""}",,,2026-07-29T08:51:31.480Z
BE-00065,API,Auth,GET /api/v1/auth/me — trailing slash variant,GET,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 307 (redirect), 0.9ms",,,2026-07-29T08:51:31.481Z
BE-00066,Security,Auth,GET /api/v1/auth/me — missing auth token,GET,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 401 (expected [401]), 0.8ms. {""detail"":""Not authenticated""}",CWE-306: Missing Authentication for Critical Function,A07:2021-Identification and Authentication Failures,2026-07-29T08:51:31.482Z
BE-00067,Security,Auth,GET /api/v1/auth/me — malformed auth token,GET,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 401 (expected [401]), 1.5ms. {""detail"":""Could not validate credentials""}",CWE-287: Improper Authentication,A07:2021-Identification and Authentication Failures,2026-07-29T08:51:31.484Z
BE-00068,Security,Auth,GET /api/v1/auth/me — expired auth token,GET,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 401 (expected [401]), 1.9ms. {""detail"":""Could not validate credentials""}",CWE-613: Insufficient Session Expiration,A07:2021-Identification and Authentication Failures,2026-07-29T08:51:31.487Z
BE-00069,Security,Auth,GET /api/v1/auth/me — token for nonexistent user,GET,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 401 (expected [401]), 2.2ms. {""detail"":""Could not validate credentials""}",CWE-287: Improper Authentication,A07:2021-Identification and Authentication Failures,2026-07-29T08:51:31.490Z
BE-00070,Security,Auth,GET /api/v1/auth/me — cors preflight,GET,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 200, 0.8ms — preflight handled without server error",CWE-942: Overly Permissive Cross-domain Whitelist,A05:2021-Security Misconfiguration,2026-07-29T08:51:31.490Z
BE-00071,API,Auth,GET /api/v1/auth/me — case insensitive path check,GET,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 404 (case-sensitive routing correctly rejects altered-case path), 0.8ms",,,2026-07-29T08:51:31.491Z
BE-00072,Functional,Auth,GET /api/v1/auth/me — response schema check,GET,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 200, 2.2ms. {""id"":1,""email"":""qa.usere8f94e49@healthsense.test"",""username"":""qa_usere8f94e49"",""full_name"":""QA Automation User"",""age"":29,""gender"":""prefer_not_to_say"",""created_at"":""2026-07-29T08:51:29.876008"",""is_act",,,2026-07-29T08:51:31.493Z
BE-00073,Functional,Auth,POST /api/v1/auth/reset-password — valid request,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 200, 249.2ms. {""status"":""success"",""message"":""Password updated successfully""}",,,2026-07-29T08:51:31.743Z
BE-00074,API,Auth,POST /api/v1/auth/reset-password — unsupported method,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 405 (expected [404, 405]), 1.4ms. {""detail"":""Method Not Allowed""}",,,2026-07-29T08:51:31.744Z
BE-00075,API,Auth,POST /api/v1/auth/reset-password — trailing slash variant,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 307 (redirect), 1.0ms",,,2026-07-29T08:51:31.745Z
BE-00076,Security,Auth,POST /api/v1/auth/reset-password — cors preflight,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 200, 0.8ms — preflight handled without server error",CWE-942: Overly Permissive Cross-domain Whitelist,A05:2021-Security Misconfiguration,2026-07-29T08:51:31.746Z
BE-00077,API,Auth,POST /api/v1/auth/reset-password — case insensitive path check,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 404 (case-sensitive routing correctly rejects altered-case path), 0.9ms",,,2026-07-29T08:51:31.747Z
BE-00078,Security,Auth,POST /api/v1/auth/reset-password — string field email sql injection,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 404, 3.2ms. {""detail"":""No account found with this email or username""}",CWE-89: SQL Injection,A03:2021-Injection,2026-07-29T08:51:31.750Z
BE-00079,Security,Auth,POST /api/v1/auth/reset-password — string field email xss payload,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 404, 2.6ms. {""detail"":""No account found with this email or username""}",CWE-79: Cross-Site Scripting,A03:2021-Injection,2026-07-29T08:51:31.753Z
BE-00080,Security,Auth,POST /api/v1/auth/reset-password — string field email crlf injection,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 404, 2.7ms. {""detail"":""No account found with this email or username""}",CWE-93: CRLF Injection,A03:2021-Injection,2026-07-29T08:51:31.756Z
BE-00081,Functional,Auth,POST /api/v1/auth/reset-password — string field email oversized 6000 chars,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 404, 2.3ms. {""detail"":""No account found with this email or username""}",CWE-1284: Improper Validation of Specified Quantity in Input,A04:2021-Insecure Design,2026-07-29T08:51:31.758Z
BE-00082,Functional,Auth,POST /api/v1/auth/reset-password — string field email empty string,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 404, 3.3ms. {""detail"":""No account found with this email or username""}",,,2026-07-29T08:51:31.762Z
BE-00083,Functional,Auth,POST /api/v1/auth/reset-password — string field email whitespace only,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 404, 3.3ms. {""detail"":""No account found with this email or username""}",,,2026-07-29T08:51:31.765Z
BE-00084,Security,Auth,POST /api/v1/auth/reset-password — string field new password sql injection,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 200, 248.5ms. {""status"":""success"",""message"":""Password updated successfully""}",CWE-89: SQL Injection,A03:2021-Injection,2026-07-29T08:51:32.014Z
BE-00085,Security,Auth,POST /api/v1/auth/reset-password — string field new password xss payload,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 200, 249.0ms. {""status"":""success"",""message"":""Password updated successfully""}",CWE-79: Cross-Site Scripting,A03:2021-Injection,2026-07-29T08:51:32.263Z
BE-00086,Security,Auth,POST /api/v1/auth/reset-password — string field new password crlf injection,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 200, 249.1ms. {""status"":""success"",""message"":""Password updated successfully""}",CWE-93: CRLF Injection,A03:2021-Injection,2026-07-29T08:51:32.512Z
BE-00087,Functional,Auth,POST /api/v1/auth/reset-password — string field new password oversized 6000 chars,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 422, 2.7ms. {""detail"":[{""type"":""string_too_long"",""loc"":[""body"",""new_password""],""msg"":""String should have at most 72 characters"",""input"":""AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA",CWE-1284: Improper Validation of Specified Quantity in Input,A04:2021-Insecure Design,2026-07-29T08:51:32.515Z
BE-00088,Functional,Auth,POST /api/v1/auth/reset-password — string field new password empty string,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 200, 248.7ms. {""status"":""success"",""message"":""Password updated successfully""}",,,2026-07-29T08:51:32.764Z
BE-00089,Functional,Auth,POST /api/v1/auth/reset-password — string field new password whitespace only,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 200, 249.1ms. {""status"":""success"",""message"":""Password updated successfully""}",,,2026-07-29T08:51:33.013Z
BE-00090,Functional,Auth,POST /api/v1/auth/reset-password — missing required field email,POST,"Backend (FastAPI @ 127.0.0.1:8000, local SQLite)",Pass,"HTTP 422 (expected [422]), 2.7ms. {""detail"":[{""type"":""missing"",""loc"":[""body"",""email""],""msg"":""Field required"",""input"":{""new_password"":""NewStr0ngPass!""},""url"":""https://errors.pydantic.dev/2.5/v/missing""}]}",,,2026-07-29T08:51:33.016Z
